Rank,Kanji,Word,Part of Speech,English Translation,Phrase,English Phrase
61,から,kara,p. conj.,"because, since",雨が降っているから、出かけるのはやめます。,"I will not go out, because it’s raining."
62,ば,ba,p. conj.,if,雨がふれば、試合は中止だ。,"If it rains, the game will be cancelled."
63,や,ya,p.,and; or,結婚式に家族や友人を招待した。,We invited our family and friends to the wedding.
64,来る,kuru,v.,come,ここに来てください。,"Come here, please."
65,その,sono,interj.,"uh, er, um, mm",「どうして授業を休んだの。」 「それは、そ の ... 。」,"“Why were you absent from the class?” “Uh, well ...”"
66,まで,made,p.,"to, till, until",休暇は明日から来週の水曜日までです。,My vacation is from tomorrow till next Wednesday.
67,見る,miru,v.,"see; look at, watch; check",通りを渡る前に左右を見た。,I looked left and right before crossing the street.
68,たり,tari,p.,and,日曜日はよく部屋の掃除をしたり、本を読んだ りする。,I usually clean up my room and read books on Sunday.
69,今,ima,n.,now,今、何時ですか。,What time is it now?
70,良い，いい,"yoi, ii",i-adj.,good,彼は良い人だ。,He is a good man.
71,所,tokoro,n.,"place, point; part; aspect",先週はいろいろな所に行った。,I went to many places last week.
72,自分,jibun,n.,oneself,彼は九十歳だが何でも自分でできる。,"He is ninety years old, yet he can do everything by himself."
73,ん,n,interj.,"oh, mm, well",ん、何かがおかしいな。,"Hmm, something is wrong ..."
74,あー,aa,interj.,"er, uh, um, hmm, ah, oh",「入ってもいい。」 「あー、ちょっと待って。」,“Can I come in?” “Uh. Just a minute.”
75,やはり，やっぱり,"yahari, yappari",adv.,"as (one) expected, still",彼女はやはり遅れた。,"She was late for the appointment, as expected."
76,たい,tai,aux.,"want to, like to",コーヒーが飲みたいな、ちょっと休もう。,I want to have a cup of coffee. Let’s have a break.
77,やる,yaru,v.,do; make; give,今すぐやります。,I’ll do that right now.
78,中,naka,n.,"inside, in; into",太郎は部屋の中に入った。,Taro came into the room.
79,いる,iru,v.,"be, exist; stay",「どこにいるの。」 「ここだよ。」,“Where are you?” “I’m here.”
80,できる,dekiru,v.,be ready,夕食ができましたよ。,Dinner is ready.
81,など,nado,p.,"and so on, etc.",警察官は私の名前や年齢などを尋ねた。,"The policeman asked me my name, age, and so on."
82,として,to shi te,cp.,as,彼女は女優としてはものにならなかった。,"As an actress, she did not succeed."
83,後,ato,n.,"after, later",後で電話します。,I’ll call you later.
84,また,mata,adv. conj.,"additionally, moreover<br>again; too, and",彼女は医者であり、また、歌手でもある。,She is a doctor as well as a singer.
85,ちょっと,chotto,adv.,"(just) a little, a bit",最近、ちょっと太ってしまった。,I gained a bit of weight recently.
86,てくる,te kuru,cp.,go and ...,スーパーへ行ってきます。,I am going to the supermarket.
87,だけ,dake,p.,"only, alone, merely",チャンスは一回だけだ。,I have only one chance.
88,"くらい, ぐらい","kurai, gurai",p.,"about, around",彼女は二十歳ぐらいに見える。,She looks around twenty years old.
89,ではない,de wa nai,cp.,it is not the case that ...,私は日本人ではない。,I’m not Japanese.
90,えーと,eeto,interj.,"well, let me see",えーと、会議は何時からだっけ。,"Well, what time does the meeting start?"
91,方,hou,n.,"direction, way; side",この部屋は午後になると西の方から日が差 す。,This room gets the sun in the afternoon from the west.
92,ていく，てく,"te iku, teku",cp.,go and ...,明日の夕食会にはどんな服を着ていったらい いですか。,What kind of dress should I wear for the dinner tomorrow?
93,訳,wake,n.,"reason, cause",訳を話してください。,Tell me the reason.
94,へ,e,p. case,DESTINATION,明日、大阪へ行きます。,I will go to Osaka tomorrow.
95,どう,dou,adv.,"how, what",彼をどう思いますか。,What do you think of him?
96,し,shi,p. conj.,"and, besides",彼はハンサムだし背が高い。,"He is handsome, and tall."
97,本当,hontou,n.,"truth, right",それは本当かな。,I wonder if it is true.
98,持つ,motsu,v.,"have, take, hold",これを持ってくれませんか。,Can you hold this?
99,出る,deru,v.,"go out, come out; attend",私は部屋から出た。,I went out of the room.
100,ため,tame,n.,for,これは初心者のための本です。,This is a book for beginners.
101,すごい,sugoi,i-adj.,"fantastic, wonderful; terrible",昨夜はすごい雨だった。,It was raining very hard last night.
102,考える,kangaeru,v.,think,よく考えてから話しなさい。,Think it through before you speak.
103,そこ,soko,pron.,there; then,彼はよくそこでタバコを吸っている。,He often smokes there.
104,う,u,aux.,SOLICITATION,さあ、行こう。,Let’s go.
105,分かる,wakaru,v.,"understand, see",彼女の言っていることはよく分からない。,I don’t quite understand what she’s saying.
106,ておる,te oru,cp.,CONTINUATION (polite),お返事をお待ちしております。,I look forward to hearing from you at your earliest convenience.
107,について,ni tsui te,cp.,"about, concerning, as to",彼は太陽光発電について研究している。,He is doing research on solar power.
108,それで,sore de,conj.,and then; so; that is why,それで、彼は何と言ったの。,"So, what did he say?"
109,入る,hairu,v.,"enter, come in, go in",どうぞお入りください。,Please come in.
110,作る,tsukuru,v.,"make, create, cook",彼女は朝食に目玉焼きを作った。,She cooked a fried egg for her breakfast.
111,てみる,te miru,cp.,try ...ing,ちょっと味見してみますか。,Would you like to taste?
112,聞く，聴く,kiku,v.,"hear; listen; listen to, obey",彼女は母親の言うことを聞かなかった。,She didn’t listen to her mother.
113,そして,soshite,conj.,"and, so",朝早く起きた。そして、散歩に出かけた。,"I got up early in the morning, and went for a walk."
114,てくれる,te kureru,cp.,[do something as a favor],父が空港まで車で迎えに来てくれた。,My father came by car to the airport to pick me up.
115,場合,baai,n.,"case, occasion",雨の場合、お祭りは中止です。,"In case of rain, the festival will be cancelled."
116,話,hanashi,n.,"story, talk",話があります。,I have something to tell you.
117,ながら,nagara,p. conj.,"with, over, while",コーヒーでも飲みながら話しましょう。,Let’s talk over a cup of coffee.
118,そんな,sonna,adn.,"that, such",彼がそんなことをするはずがない。,He can’t do such a thing.
119,使う,tsukau,v.,"use, handle",この鍋はミルクを温めるのに使ってい ます。,I use this pan for warming milk.
120,日本,"nihon, nippon",n.,Japan,来週、日本に帰国します。,I will go back to Japan next week.
121,風,fuu,na-adj.,"style, type, way, like",あんな風に踊れるようになりたい。,I wish that I could dance like that.
122,おー,oo,interj.,"Oh!, Wow!",おー、これは立派な家だね。,Wow! This is a nice house.
123,前,mae,n.,forward; front; before,子供の前でそんな話はするべきではない。,We should not talk about things like that in front of children.
124,多い,ooi,i-adj.,"many, much, a lot of",今年は雨が多い。,There has been a lot of rain this year.
125,のではない，んではない,"no de wa nai, n de wa nai",cp.,it is not that ...,あなただけが悪いのではない。,This is not only your fault.
126,よく,yoku,adv.,"good, well; often",私は彼をよく知っている。,I know him well.
127,一つ,hito-tsu,n.,one,オレンジを一つ食べた。,I ate an orange.
128,子供,kodomo,n.,child,私は子供が三人いる。,I have three children.
129,非常,hijou,na-adj.,"very, extremely",その国は非常に物価が高い。,Prices in that country are extremely high.
130,気,ki,n.,"mind, heart",彼女は気が強い。,She is strong-minded.
131,ても,te mo,p. conj.,even if,どんなに食べても彼女は太らない。,"No matter how much she eats, she never gains weight."
132,取る,toru,v.,"take, get; have; pass",塩をとってくれませんか。,Will you pass me the salt?
133,うち,uchi,n.,inside; of; before,寒いのでうちの中にいた。,I stayed home as it was cold outside.
134,知る,shiru,v.,know,私は何も知りません。,I don’t know anything about it.
135,より,yori,p. case,than; from,東京より大阪のほうが好きです。,I like Osaka better than Tokyo.
136,それから,sore kara,conj.,"and then, after that, and",昨日は９時ごろ帰宅しました。それから、テレ ビを見ました。,"I went home around nine, and then watched TV."
137,うー,uu,interj.,"Woo!, Oooh!",うー、寒い。,"Woo, it’s cold."
138,感じ,kanji,n.,"feeling, impression; atmosphere",日本的な感じの部屋ですね。,This room has a Japanese atmosphere.
139,みたい,mitai,na-adj.,like,明子ちゃんみたいにきれいな女の子は見たこ とがない。,I have never seen such a beautiful girl as Akiko.
140,でも,de mo,conj.,"but, however",結婚したい。でも、いい相手がいない。,"I want to get married, but I can’t find anyone."
141,ここ,koko,pron.,here,ここから彼の家まで一時間かかる。,It takes an hour from here to his house.
142,"とても, とっても","totemo, tottemo",adv.,very,今日はとても忙しかった。,I was very busy today.
143,いろいろ,iroiro,"adv., na-adj.",various,その国立公園ではいろいろな動物が見ら れる。,You can see various animals in the national park.
144,一,ichi,num.,one,一からやる。,Start from scratch. (Start from the beginning.)
145,そう,sou,"n., na-adj.",be about to,彼女は今にも泣きそうだった。,She was almost crying.
146,行なう,okonau,v.,"do, carry out, hold",明日、会議が行う予定だ。,We will have a meeting tomorrow.
147,一番,ichiban,adv.,"number one, first, most",昨日はこの冬で一番寒い日だった。,Yesterday was the coldest day of this winter.
148,二,ni,num.,two,テストの成績がクラスで二番だった。,I got the second best score in my class in the examination.
149,同じ,onaji,adn.,same,私たちは同じ飛行機で大阪まで行った。,We took the same flight to Osaka.
150,まず,mazu,adv.,first; anyway,まず、玉ねぎを炒め、次に肉を入れてくださ い。,"First, fry the onions, and then the meat."
151,必要,hitsuyou,na-adj.,necessary n necessity,必要な情報を集めている。,I am collecting the necessary information.
152,仕事（する）,shigoto(suru),n. v.,"work, job<br>work",彼は新しい仕事を探している。,He is looking for a new job.
153,余り,amari,adv. n.,the rest<br>(not) much,うちの息子はあまり野菜が好きじゃない。,My son doesn’t like vegetables very much.
154,によって,ni yot-te,cp.,"by, because of; depend on, depending on",価格は需要と供給のバランスによって決まる。,The price depends on the balance of supply and demand.
155,かもしれない,ka mo shire nai,cp.,"perhaps, maybe",これは毒キノコかもしれない。,Maybe this is a poisonous mushroom.
156,僕,boku,pron.,I (used by male speakers),僕はサッカーが好きだ。,I like football.
157,皆,"mina, minna",n.,everyone; everything,皆、彼女の意見に賛成だ。,Everyone agrees with her opinion.
158,彼,kare,pron.,he,彼は私の兄です。,He is my elder brother.
159,方,kata,n.,"person, man",この方は山田さんです。,This is Mr. Yamada.
160,食べる,taberu,v.,eat,彼女はよく食べる。,She eats a lot.
161,ほど,hodo,p.,about; extent,一時間ほどで戻ります。,I’ll be back in an hour or so.
162,しかし,shikashi,conj.,"but, however",彼はよく勉強した。しかし、試験に合格できな かった。,"He studied hard, but he couldn’t pass the exam."
163,書く,kaku,v.,write,名前と住所を書くのを忘れずに。,Make sure you write your name and address.
164,入れる,ireru,v.,put in; include,カバンに財布を入れるのを忘れてしまった。,I forgot to put my wallet in my bag.
165,次,tsugi,n.,"next, following, coming",次の日曜日、うちに来ませんか。,How about coming to our house next Sunday?
166,結構,kekkou,adv. na-adj.,quite<br>good,東京の冬は結構寒い。,Winter in Tokyo is quite cold.
167,問題,mondai,n.,"problem, question",その問題をできるだけ早く解決したい。,I want to solve the problem as soon as possible.
168,例えば,tatoeba,adv.,"for example, such as",この畑では野菜、例えばジャガイモやトマトを 作っています。,Vegetables such as potatoes and tomatoes are grown in this field.
169,目，眼,me,n.,eye,彼女は目が大きい。,She has big eyes.
170,頃,koro,n.,"time, about, when",子供の頃、その町に住んでいた。,I lived in the town when I was a child.
171,上,ue,n.,top; above; up; on,机の上に本があります。,There is a book on the desk.
172,てくださる,te kudasaru,cp.,[do something as a favor (honorific)],お手伝いしてくださるボランティアの方を募集 しています。,We are looking for volunteers who could help us.
173,他,hoka,n.,"other, another; else",他に質問はありませんか。,Do you have any other questions?
174,いつ,itsu,pron.,when,いつ日本へ来ますか。,When are you coming to Japan?
175,家,ie,n.,"house, home",私はいつも夜8時ごろ家に帰る。,I always go home around eight o’clock.
176,付く,tsuku,v.,stick; be stained with,服にインクのしみが付いた。,My clothes were stained with ink.
177,"日, 陽",hi,n.,day; sun,この部屋は日が良く当たって、とても暑くなる。,This room gets lots of sunlight and gets very hot.
178,出す,dasu,v.,take out; pay; send,その手紙は昨日出しました。,I sent the letter yesterday.
179,一人,hitori,n.,one person; alone,料金は一人五千円です。,The charge is five thousand yen per person.
180,人間,ningen,n.,"human being, man",人間は神の前でみな平等だ。,All men are equal before God.
181,どこ,doko,pron.,where,どこへ行くんですか。,Where are you going?
182,ございます (<ござる）,gozai masu,v.,[very polite form of “de aru”],ありがとうございます。,Thank you very much.
183,時間,jikan,n.,time,もう行く時間だ。,It’s time to go.
184,ただ,tada,conj. adv.,"just<br>only, just, merely",彼女は美人だ。ただ、わがままだ。,"She is beautiful, but selfish."
185,だから,dakara,conj.,"so, therefore, because",彼はハンサムで金持ちだ。だから、女性にもて る。,"He is popular among women, because he is handsome and rich."
186,違う,chigau,v.,be different; be wrong,彼の意見は私のと違う。,His opinion is different from mine.
187,受ける,ukeru,v.,"get, receive, take",私は大学から奨学金を受けている。,I receive a scholarship from the university.
188,言葉,kotoba,n.,word; language,外国での生活は言葉や習慣が違うので大変 だ。,Living in a foreign country is difficult because of the different customs and language.
189,なんか,nanka,p.,"such as, like",彼なんかにできるはずがない。,Someone like him could never do it.
190,少し,sukoshi,adv.,"a little, a few",少し疲れました。,I’m a bit tired.
191,まま,mama,adv.,as it is,眼鏡をかけたまま眠ってしまった。,I slept with my glasses on.
192,買う,kau,v.,buy,彼は車を買った。,He bought a car.
193,まだ,mada,n.,"yet, still",まだ雨が降っている。,It is still raining.
194,手,te,n.,hand,父の手は大きい。,My father has big hands.
195,話す,hanasu,v.,"talk, tell, speak",日本語が話せますか。,Can you speak Japanese?
196,好き,suki,na-adj.,"favorite, like, love",好きな食べ物は何ですか？,What is your favorite food?
197,返る,kaeru,v.,return,私の本を返してくれませんか。,Can you return my book to me?
198,てもらう,te morau,cp.,[receive a favor],知り合いに仕事を紹介してもらった。,My friend told me about the job.
199,掛ける,kakeru,v.,hang; take; cost,壁に絵を掛けた。,I hung the picture on the wall.
200,終わる,owaru,v.,"end, finish",仕事が終わったら飲みに行きましょう。,Let’s go out for a drink after work.
201,意味（する）,imi(suru),n. v.,"meaning, sense<br>mean",それはどういう意味ですか。,What does it mean?
202,のである,no de aru,cp.,ASSERTION (formal),認めたくはないが、それが現実なので ある。,"It is difficult to accept, but it is a reality."
203,いろんな,ironna,adn.,various,そのパーティーではいろんな料理が出され た。,All kinds of foods were served at the party.
204,付ける,tsukeru,v.,put; attach; apply,私のパンにジャムを付けてくれますか。,Can you put some jam on my bread?
205,形,katachi,n.,"form, shape, figure",このリンゴは形が良い。,This apple has a nice shape.
206,かなり,kanari,adv.,"considerably, rather",今度の彼の作品は、前回のものとかなり 違う。,His work this time is quite different from last time.
207,三,san,n.,three,この春、彼は三回目の結婚をした。,He got married for the third time this spring.
208,最初,saisho,n.,first,最初は誰でも初心者だ。,Everyone is a beginner at first.
209,間,aida,n.,distance; period,彼女とは長い間会っていない。,I have not seen her for a long time.
210,感じる,kanjiru,v.,feel,空腹を感じる。,I feel hungry.
211,しか,shika,p.,"only, just, no more than",砂糖は少ししか残っていない。,There is only a bit of sugar left.
212,かかる,kakaru,v.,hang; take; cost,子どもを育てるのにはお金がかかる。,It costs a lot to raise children.
213,大きな,ookina,adn.,"big, large, great",大きな家に住みたい。,I want to live in a big house.
214,住む,sumu,v.,live,私は東京に住んでいる。,I live in Tokyo.
215,最近,saikin,n.,"recently, lately",私は最近忙しい。,I’ve been busy recently.
216,特に,tokuni,adv.,"especially, particularly",コーヒーの中でも特に濃いコーヒーが好きで す。,"I like coffee, particularly strong ones."
217,誰,dare,pron.,"who, whose, whom",誰を待っているんですか。,Who are you waiting for?
218,こんな,konna,adn.,"such, like that",こんなことはもう二度としません。,I’ll never do such a thing again.
219,友達,tomodachi,n.,friend,彼は私の友達です。,He is a friend of mine.
220,大きい,ookii,i-adj.,"big, large, great",大きい犬が吠えている。,A big dog is barking.
221,すぐ,sugu,adv.,soon,彼はすぐ帰ってきますよ。,He will come back soon.
222,一緒,issho,n.,"together, with",友達と一緒に買い物に行った。,I went shopping with my friends.
223,生活（する）,seikatsu(suru),n. v.,life<br>live,日本の生活は慣れましたか。,Did you get used to living in Japan?
224,国,kuni,n.,country,私の国では雪が全く降らない。,It never snows in my country.
225,あげる,ageru,v.,"raise, lift",質問があれば手をあげてください。,Please raise your hand if you have a question.
226,"あなた, あんた","anata, anta",pron.,you,あなたの協力が必要です。,I need your help.
227,現在,genzai,n.,"present time, now",現在、気温は0度です。,The temperature is currently zero degrees.
228,高い,takai,i-adj.,"high, tall; expensive",彼は背が高い。,He is tall.
229,なんて,nante,p.,[expresses belittlement],彼女がタバコをやめたなんて信じられ ない。,I can’t believe that she quit smoking.
230,悪い,warui,i-adj.,bad,気分が悪い。,I feel sick.
231,気持ち,kimochi,n.,feeling,風呂は気持ちがいい。,It feels good to take a bath.
232,乗る,noru,v.,"ride, get on, take",私は東京駅から電車に乗った。,I took a train from Tokyo station.
233,において,ni oi te,cp.,at; in; on,日本において国際会議が開かれた。,An international conference was held in Japan.
234,見える,mieru,v.,"see, be seen",ここから富士山が見える。,I can see Mt. Fuji from here.
235,変わる,kawaru,v.,change,彼の考えは変わった。,His idea has changed.
236,べし,beshi,aux.,"must, should",結果は推して知るべし。,It should be easy to guess the results.
237,あるいは,aruiwa,conj.,"or; perhaps, probably, maybe",日本からアフリカへは、ヨーロッパ、あるいは 中東経由で行ける。,One can go to Africa from Japan either via Europe or the Middle East.
238,大変,taihen,na-adj.,"serious, terrible; hard, difficult",大きな家を掃除するのは大変だ。,It’s hard work to clean a big house.
239,による,ni yoru,cp.,"be due to, be based on",父の病気は過労によるものだ。,My father’s illness is from overwork.
240,会社,kaisha,n.,"company, firm",父は貿易会社に勤めている。,My father works for a trading company.
241,ほとんど,hotondo,adv.,"almost, nearly",ほとんどの人は彼の話を信じた。,Most people believed his story.
242,実際,jissai,n.,"actually, in fact",それは実際あったことです。,It actually happened.
243,先生,sensei,n.,teacher,先生に質問した。,I asked the teacher a question.
244,彼女,kanojo,pron.,she; girlfriend,彼女を両親に紹介した。,I introduced my girlfriend to my parents.
245,二人,futari,n.,two people,この車には二人しか乗ることができない。,Only two people can ride in this car.
246,心,kokoro,n.,"mind, heart; thought; feeling",心からあなたを愛している。,I love you with all my heart.
247,あの,ano,adn.,"that, those",あの建物は博物館です。,That building is a museum.
248,らしい,rashii,aux.,"seem, look",あの女はまだ生きているらしい。,It seems that that woman is still alive.
249,ある,aru,adn.,"one, a, some, a certain",私は去年、あるプロジェクトに関わった。,I joined a certain project last year.
250,金,kane,n.,money,金がすべてではない。,Money isn’t everything.
251,顔,kao,n.,face,毎朝、顔を洗う。,I wash my face every morning.
252,ていただく,te itadaku,cp.,[receive a favor (humble)],すみません、ちょっと教えていただけますか。,"Excuse me, may I ask a question?"
253,ずっと,zutto,adv.,"all the time, for a long time",今までずっとここにいたんですか。,Have you been here all the time?
254,さらに,sarani,adv.,"again, still more, moreover",その会社はさらに成長するだろう。,The company is likely to grow further.
255,町，街,machi,n.,"town, city",この町には高校がない。,This town does not have any high schools.
256,及び,oyobi,conj.,"and, as well as",その会社は東京及び埼玉で事業を展開してい る。,The company operates in Tokyo and Saitama.
257,たくさん,takusan,adv.,"many, much",たくさんの人達がパーティーに来ていた。,Many people came to the party.
258,いー,ii,interj.,"good, great",いー、これ。,This is great.
259,大体,daitai,adv.,"almost, nearly",仕事は大体終わった。,I’ve almost finished the work.
260,もちろん,mochiron,adv.,"of course, needless to say",喫煙が体に悪いことはもちろん知っています。,Of course I know that smoking is not good for one’s health.
261,読む,yomu,v.,read,毎朝、新聞を読む。,I read a newspaper every morning.
262,人たち,hito-tachi,n.,people,若い人達に教えられた。,I learned from young people.
263,今日,kyou,n.,today,今日は金曜日です。,It’s Friday today.
264,昔,mukashi,n.,"ancient times, in the past, once",昔、ここに寺があった。,There used to be a temple here.
265,うん,un,interj.,"yes, yeah",「宿題やったの」 「うん」,“Did you finish your homework?” “Yeah.”
266,すべて,subete,n.,"everything, all",これらの本は全て読みました。,I have read all these books.
267,教える,oshieru,v.,"teach, tell",私は英語を教えています。,I teach English.
268,子,ko,n.,child,うちの子は5歳です。,My child is five years old.
269,ておく,te oku,cp.,"do something in advance, in preparation for something",お客さんが来るので、部屋をきれいにしてお いた。,I cleaned the room because I had a visitor.
270,に対して,ni taishi te,cp.,"to, toward; for; against",彼は誰に対しても優しい。,He is kind to everyone.
271,ばかり,bakari,p.,"only, just, almost",今朝、着いたばかりです。,I arrived here only this morning.
272,なぜ,naze,adv.,why,なぜ学校へ行かなかったの。,Why didn’t you go to school?
273,水,mizu,n.,water,グラスから水がこぼれた。,Water spilled from the glass.
274,当時,touji,n.,"then, at that time",当時、日本の物価はもっと高かった。,The prices in Japan were higher then.
275,場所,basho,n.,"place, spot, position",ソファーを置く場所を変えましょう。,Let’s change the position of the sofa.
276,置く,oku,v.,"put, place; leave",部屋に荷物を置いた。,I put my bag in the room.
277,楽しい,tanoshii,i-adj.,"pleasant, happy, enjoyable",とても楽しかったです。,I had a very good time.
278,にとって,ni tot-te,cp.,for,私にとって彼は大切な人です。,He is the significant other for me.
279,声,koe,n.,voice,彼は小さな声で話した。,He talked in a low voice.
280,普通,futsuu,na-adj.,"normal, regular, ordinary, common",彼女は普通じゃない。,She is not normal.
281,残る,nokoru,v.,"remain, be left",仕事を終えるために一人でオフィスに残った。,I stayed in the office alone to finish the work.
282,最後,saigo,n.,"last, end",これが最後のチャンスだ。,This is the last chance.
283,車,kuruma,n.,car; wheel,彼女は車で買い物に出かけた。,She went shopping by car.
284,初めて,hajimete,adv.,"for the first time, first",彼と初めて会ったのは去年の夏です。,I met him last summer for the first time.
285,今度,kondo,n.,"this time, next time",今度の日曜日、映画を見に行きませんか。,Would you like to go to see a movie next Sunday?
286,体,karada,n.,body,昨日フルマラソンに出たので体が痛い。,My body aches from running a marathon yesterday.
287,私達,"watashi-tachi, watakushi-tachi",pron.,we,私達、結婚しました。,We got married.
288,強い,tsuyoi,i-adj.,"strong, powerful",彼は力が強い。,He is strong.
289,全く,mattaku,adv.,"entirely, completely; (not) at all",二人は兄弟だが、性格は全く違う。,"They are brothers, but their characters are completely different."
290,呼ぶ,yobu,v.,call,タクシーを呼んでください。,Please call a taxi for me.
291,結局,kekkyoku,adv.,"after all, in the end, finally",よく考えたが、結局、新車は買わないことにし た。,I decided not to buy a new car after all.
292,歩く,aruku,v.,walk,祖母はゆっくり歩く。,My grandma walks slowly.
293,男,otoko,n.,"man, male",彼は男の中の男だ。,He is a real man.
294,女性,josei,n.,"woman, female",男性より女性のほうが長生きする。,Women live longer than men.
