Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
47,algum,aj,some,"era-lhe preciso dizer alguma coisa, mas nenhuma palavra lhe aflorava aos lábios","It was necessary that he say something, but no word came from his lips.",100
48,ela,pn,"she, it (her in BP)",ela é uma santa mulher,She is a kind and holy woman.,100
49,depois,av,after,"eles faziam esta visita geralmente aos domingos, depois do jantar","They generally paid a visit on Sundays, after dinner.",100
50,entre,prp,"between, among",esta relação entre Portugal e os EUA mantém-se até hoje,This relationship between Portugal and the United States is still maintained today.,100
51,dia,nm,day,no estabelecimento do velho trabalhavam noite e dia,"In the old man’s store, they worked day and night.",100
52,só,av,"only, just","A falar a verdade, só atravessei uma vez a fronteira","To tell the truth, I’ve only crossed the border once.",100
53,aquele,aj,that (more remote),eu escrevi aquele livro,I wrote that book.,100
54,sobre,prp,"about, over, above, upon",ela não tivera coragem de falar sobre a morte do marido,She didn’t have the courage to talk about her husband’s death.,100
55,primeiro,aj/av,first,a primeira coisa que tens a fazer é tomar um banho,The first thing you have to do is take a bath.,100
56,ficar,v,"to stay, be located, get ADJ",por uns tempos você vai ficar aqui com a gente,For a while you will stay here with us.,100
57,dever,v,"must, should, to owe",o patrão deve vários meses de salário aos trabalhadores da construção civil,The boss owes several months’ salary to the construc- tion workers.,100
58,passar,v,"to go through, spend (time)",os presos teriam que passar ainda por outra provação,The prisoners would have to go through yet one more hardship.,100
59,saber,v,to know (something),ela queria saber se é verdade o que descobri!,She wanted to know if what I discovered was true!,100
60,assim,av,"thus, so, like this",assim fica difícil,"This way, it’s hard.",100
61,querer,v,to want,"nem tudo pode ser como a gente quer, Teresa","Not everything can be the way we want, Teresa.",100
62,onde,av,where,fica onde estás,Stay where you are.,100
63,novo,aj,new,"em dezembro desse ano, foi adoptada uma nova Constituição","In December of that year, a new Constitution was adopted.",100
64,sem,prp,without,a maioria deles é invisível sem a ajuda do microscópio,Most of them are invisible without the help of a microscope.,100
65,vir,v,to come,"logo atrás vinha outro riquexó a toda a velocidade, decidido a ultrapassar","Right behind another rickshaw came at full speed, ready to pass.",100
66,tempo,nm,"time, weather",a obra levou um período de tempo enorme para ser concluída,The work took an enormous amount of time to finish.,100
67,bem,av,"well, very",Simone perguntou: – Como está? Bem?,"Simone asked, “How are you? Well?”",100
68,porque,cj,because,"a região não se desenvolve, porque o domínio chinês é mal recebido",The region has not developed because Chinese rule is not welcomed.,100
69,meu,aj,"my, mine",tenho saudades da minha família e do meu país,I miss my family and my country.,99
70,pessoa,nf,person,ele era o tipo de pessoa em quem se pode confiar,He was the kind of person in whom you can trust.,100
71,coisa,nf,thing,hoje as coisas estão melhores para a comu- nidade latina nos EUA,"Today, things are better for the Latino community in the USA.",100
72,então,av,"then, so","a mãe dele, até então quieta, disse a primeira palavra desde que chegara","His mother, who had been quiet until then, uttered her first word since she had arrived.",100
73,quem,pn,"whom, who",o amigo a quem convidei nunca chegou a aparecer,The friend whom I invited never showed up.,100
74,sempre,av,always,a relação entre o pai e a mãe da criança sempre fora turbulenta,The relationship between the child’s father and mother had always been problematic.,100
75,qual,aj,which,ele assinou uma confissão na qual admitia ter matado um americano,He signed a confession in which he admitted to having killed an American.,100
76,chegar,v,to arrive,o dinheiro pode demorar dias a chegar ao seu destino,The money could take days to arrive at its destination.,100
77,vida,nf,life,"acho que, pela primeira vez na minha vida, compreendi-a","I think that, for the first time in my life, I understood her.",100
78,pouco,aj/av,a little,quero fazer um pouco de exercício,I want to do a little physical exercise.,100
79,homem,nm,man,"no caso das famílias tradicionais, homens e mulheres têm papéis complementares","In the case of traditional families, men and women have complementary roles.",100
80,parte,nf,part,esta análise divide-se em duas partes,This analysis is divided in two parts.,100
81,tudo,pn,"everything, all",um dia fui vê-la e disse-lhe que ela devia contar tudo ao marido,One day I went to see her and told her that she should tell everything to her husband.,100
82,casa,nf,"house, home","eu não tinha vontade de ir; preferia ficar em casa, curtindo minha solidão","I didn’t want to go; I preferred to stay home, enjoying my solitude.",100
83,agora,av,now,então fale agora ou cale-se para sempre,Then speak now or forever hold your peace.,100
84,lhe,pn,"to you, him, her",já não lembro que pergunta lhe fiz,I can’t remember what question I asked him.,100
85,trabalho,nm,work,o seu trabalho conduziu ao desenvolvimento das técnicas de raios X,His work led to the development of X-Ray techniques.,100
86,nosso,aj,our,defendemos nossa família e as almas a nós confiadas,We defend our family and the souls entrusted to us.,100
87,levar,v,"to carry (away), take (with oneself)",o avião ia levá-los a Bauru,The airplane was going to carry them to Bauru.,100
88,pois,cj,"for, because, whereas",esta decisão mudou a história do Nepal pois introduziu a democracia,This decision changed Nepal’s history for it introduced democracy.,100
89,deixar,v,"to leave, allow","ele foi obrigado a deixar a cidade, mudando- se para Berlim","He had to leave the city, so he moved to Berlin.",100
90,bom,aj,good,em todos os lugares há árbitros bons e árbitros maus,In every place there are good and bad referees.,100
91,começar,v,"to begin, start",tudo ia acabar e começar de novo,Everything was going to end and begin again.,100
92,próprio,aj,"own, very own","em 1899, ele fundou a sua própria empresa de produção de motores","In 1899, he founded his own motor production company.",100
93,maior,aj,"greater, larger",o Cairo é a maior cidade de África,Cairo is the biggest city in Africa.,100
94,caso,nm,case,"o paciente, neste caso, deverá ser ligeiramente reclinado","The patient, in this case, ought to be slightly reclined.",100
95,falar,v,"to speak, talk",ela fala português,She speaks Portuguese.,100
96,país,nm,country,o Brasil é um país jovem e sem compro- misso com o passado,Brazil is a young country without a commitment to the past.,100
97,forma,nf,"form, way",outra forma de arte bastante desenvolvida por eles era a escultura,Another form of art which was highly developed by them was sculpture.,100
98,cada,aj,"each, every","o país encontra-se dividido em nove províncias, cada uma com um governador","The country is divided in nine provinces, each one with a governor.",100
99,hoje,n/av,today,sua teoria até hoje permanece praticamente intocável,"Even today, his theory remains practically irrefutable.",100
100,nem,cj,"neither, not, nor",nem venderam os legumes nem compraram o pão de que precisavam,They neither sold the vegetables nor bought the bread they needed.,100
101,três,num,three,"como Pedro que três vezes negou Cristo e foi perdoado, eu estou arrependido","Like Peter who denied Christ three times and was forgiven, I am repentant.",100
102,se,cj,if,"Se não fosse por causa do problema do esgoto, já teríamos construído a casa","If it weren’t for the problem with the sewers, we would already have built the house.",100
103,encontrar,v,"to find, meet","Na Europa é difícil, mas é possível encontrar um emprego","In Europe it is difficult, yet possible, to find a job.",100
104,meio,n/aj/av,"means, way, half-, middle",o sacrifício era visto como um meio de santificar o acto,The sacrifice was seen as a way of sanctifying the act.,100
105,aqui,av,here,por uns tempos você vai ficar aqui com a gente,For a while you will stay here with us.,100
106,mundo,nm,world,ele viajou pelo mundo inteiro mas voltava sempre à Islândia,He traveled throughout the whole world but always came back to Iceland.,100
107,apenas,av,"only, just",o Partido Socialista conseguiu apenas 18% dos votos,The Socialist Party only got 18% of the votes.,100
108,estado,nm,"state, condition",disseram-me que o cemitério está num estado lastimável,They told me that the cemetery is in terrible condition.,100
109,segundo,n/aj/prp,"second, according to",ele chegou em segundo lugar,He took second place.,99
110,qualquer,pn,any,farei qualquer coisa por você,I will do anything for you.,100
111,cidade,nf,city,a cidade de Londrina foi fundada em 1930,The city of Londrina was founded in 1930.,100
112,menos,aj/av,"less, fewer","embora ele tivesse menos apoio dentro da classe governante, conseguiu ganhar o voto do povo","Although he had fewer supporters among the governing class, he was able to get the popular vote.",100
113,governo,nm,government,em 1890 a colónia adquiriu o estatuto de governo,"In 1890, the colony acquired its own government.",99
114,partir,v,(a p. de) starting at N,com este despacho ele logo partiu para a Índia,"With these orders, he left for India right away.",100
115,conseguir,v,"to succeed in, be able to","foi penoso, mas conseguimos pagar dois terços da dívida","It was hard, but we succeeded in paying two-thirds of the debt.",100
116,tanto,aj/av,"so much, enough",eu fiz tanta coisa que me senti cansado,I did so much that I felt tired.,100
117,lado,nm,side,os alemães atacaram então a força inglesa pelo lado dipeito,The Germans then attacked the English forces on the right side.,100
118,chamar,v,to call,ela achou por bem chamar a polícia,She thought it wise to call the police.,100
119,melhor,aj/av,"better, best",sei isso melhor do que ninguém,I know that better that anyone.,100
120,pensar,v,to think,"e o feminismo, que pensa do feminismo?","And feminism, what do you think about feminism?",100
121,nome,nm,name,o meu nome é Maria Sara,My name is Maria Sara.,100
122,isto,pn,this (NEUT),porque é que isto aconteceu?,Why has this happened?,100
123,certo,aj/av,"certain, right, sure","em certos casos, o desflorestamento pode revelar-se benéfico","In certain cases, deforestation can prove to be beneficial.",100
124,mulher,nf,"woman, wife","o número médio de gravidezes é duas por cada mulher, nos países industrializados",The average number of pregnancies per woman is two in industrialized countries.,100
125,conhecer,v,"to know (person, place, etc.)",quem me conhece sabe que sou católico,"Those who know me, know that I am Catholic.",100
126,exemplo,nm,example,"actualmente, a indústria é um bom exemplo de uma área de depressão","Currently, the industry is a good example of an area of depression.",100
127,existir,v,to exist,o oxigénio existe em duas formas gasosas,Oxygen exists in two gaseous forms.,100
128,antes,av,before,"antes da chegada dos europeus, a febre- amarela não constituía um problema","Before the arrival of the Europeans, yellow fever hadn’t been a problem.",100
129,tal,aj/av,such,nunca me passou tal coisa pela cabeça!,Such a thing never passed through my head!,100
130,você,pn,"you (EP formal, BP informal)",de onde você é?,Where are you from?,99
131,lá,av,"there, over there","se você gosta de visitas, eu vou lá na sua casa domingo","If you like to be visited, I’ll come to your house over there on Sunday.",99
132,durante,prp,"during, for (time)",o religioso permaneceu ajoelhado durante horas,The religious man remained kneeling for hours.,100
133,terra,nf,"land, earth",A agricultura é desenvolvida nas terras mais férteis da região,Agriculture is developed in the most fertile lands of the region.,100
134,último,aj,last,"quando o vi pela última vez, ele era ainda uma criança","When I saw him last, he was still a child.",100
135,desde,prp,since,os meus pais estão casados desde antes de eu nascer,My parents have been married since before I was born.,100
136,contra,prp,against,a escravidão é um crime contra a humanidade,Slavery is a crime against humanity.,100
137,aí,av,there,ele foi para o Brasil e ali permaneceu,He went to Brazil and stayed there.,100
138,parecer,v,to seem,"por incrível que pareça, é um cara que tem muita força","As incredible as it seems, he is a really strong guy.",100
139,pequeno,aj,small,ele alargava o seu pequeno círculo de amizades,He widened his small circle of friends.,100
140,quanto,aj/av,how much,quanto tempo se terá passado?,How much time has passed?,100
141,nada,pn,nothing,não te posso dizer mais nada. Já falei demais,I can tell you nothing more. I’ve already said too much.,100
142,português,na,Portuguese,os idiomas falados em Cabo Verde são o português e o crioulo,The languages spoken in Cape Verde are Portuguese and creoles.,100
143,filho,nm,"son, children (PL)",ele casou duas vezes e teve mais de 20 filhos,He married twice and had more than 20 children.,100
144,tornar,v,"to become, turn into",a partir de certa altura tudo se tornou um pouco mais difícil,"After a certain point, everything became a little more difficult.",100
145,água,nf,water,vá buscar o remédio dela e um copo d’água,Go get her medicine and a glass of water.,100
146,direito,na,"right, law","num país onde não querem defender os meus direitos, não quero viver",I don’t want to live in a country that doesn’t want to defend my rights.,100
147,público,na,public,"obrigado a ceder à pressão da opinião pública, o político concordou","Obliged to concede to the pressure of public opinion, the politician agreed.",100
148,entrar,v,"to come in, enter",mil perdões por eu entrar na sua casa tão tarde,A thousand pardons for coming into your house so late.,100
149,problema,nm,problem,o problema é mais grave,The problem is worse.,100
150,viver,v,to live,não só de pão vive o homem,Man does not live by bread alone.,100
151,além,av,"beyond, in addition to","os ligamentos auxiliam na firmeza das juntas, além da manutenção da estrutura","Besides helping to connect the joints, ligaments also help hold up the bone structure.",100
152,pôr,v,"to put, place",a mãezinha põe o vestido bonito,The young mother put on a beautiful outfit.,100
153,história,nf,"story, history",a gente antiga gostava de contar histórias de valentia,Ancient people liked to tell stories of bravery.,100
154,grupo,nm,group,o grupo tem à frente a cantora Ivete Sangalo,"The group has, as lead singer, Ivete Sangalo.",100
155,hora,nf,hour,a velocidade máxima atingida pelo veículo era de cinco quilômetros por hora,The maximum velocity reached by the vehicle was 5 kilometers per hour.,100
156,sair,v,to leave,durante esta época do ano não se pode entrar nem sair de Roma,During this time of the year you can neither enter nor leave Rome.,100
157,acabar,v,"to finish, end up",a guerra acabou,The war ended.,100
158,continuar,v,to continue,deverão continuar até terminar o seu plano de estudos,You should all continue until you finish your course of study.,100
159,tão,av,"so, as",a idéia era tão avançada que eu não conseguia entender,The idea was so advanced that I couldn’t understand it.,100
160,nunca,av,never,nunca consigo prever nada,I can never predict anything.,100
161,dentro,av,"within, in, inside",há divisões dentro da própria organização,There are divisions within the organization itself.,100
162,voltar,v,to return,"quando voltou para casa, fechou-se no quarto","When he returned home, he shut himself in his room.",99
163,tomar,v,"to take (possession of), drink",ele tomou o poder pela primeira vez através de um golpe militar,He took power for the first time through a military coup.,100
164,obra,nf,"work, project",as estátuas de Buda são obras notáveis na arte japonesa,Statues of Buddha are notable works of Japanese art.,100
165,facto,nm,fact,ele negou todos os factos,He denied all the facts.,100
166,ponto,nm,"point, dot, period",é nesse ponto de vista que se baseia este trabalho,It is on this point of view that this work is based.,99
167,trabalhar,v,to work,o presidente trabalha com um comité,The president works with a committee.,100
168,fim,nm,"purpose, end",não será o fim do mundo,It won’t be the end of the world.,100
169,quase,av,almost,era a hora do almoço e a loja estava quase deserta,It was lunch time and the store was almost deserted.,100
170,pai,nm,"father, parents (PL)","ele subiu ao trono, sucedendo a seu pai, em 1621","He assumed the throne, succeeding his father in 1621.",100
171,apresentar,v,"to introduce, present","quero lhe apresentar uma pessoa que, em breve, estará connosco",I want to introduce you to a person that will be with us shortly.,100
172,relação,nf,relation,as relações entre espécies num ecossistema são geralmente complexas,The relations between species in an ecosystem are generally complex.,99
173,criar,v,to create,a nossa preocupação é criar condições de desenvolvimento sustentado,Our concern is in creating conditions for sustained development.,100
174,considerar,v,to consider,ao lavar as mãos ele olhava-se no espelho e considerava minuciosamente cada feição,"While washing his hands, he looked in the mirror and carefully considered each expression.",100
175,momento,nm,moment,"agora é o momento decisivo, o governo tem de aprovar",Now is the decisive moment; the government has to approve it.,100
176,receber,v,to receive,ele recebeu um carro como presente,He received a car as a present.,100
177,ideia,nf,idea,tive uma ideia que me pareceu boa,I had an idea that seemed good to me.,100
178,política,nf,politics,"não sei nada de política, mas acho que o povo está sofrendo","I don’t know anything about politics, but I think that the common people are suffering.",99
179,vários,aj,"various, many",o problema pode ser encarado de várias maneiras,The problem can be faced in many ways.,100
180,lugar,nm,place,a praia tem bons lugares para fazer campismo,The beach has good places for camping.,100
181,sentir,v,to feel,sabes que me sinto completamente feliz,You know that I feel completely happy.,100
182,livro,nm,book,agora ele está a ler um livro sobre a Guerra Civil de Espanha,Now he is reading a book about the Spanish Civil War.,100
183,nós,pn,"we, us (OBJ = nos)",cada um de nós tem sua alma individual,Every one of us has an individual soul.,99
184,mês,nm,month,"o volume de crisântemos intensifica-se nos meses de maio, outubro e dezembro","The volume of chrysanthemums increases in the months of May, October and December.",100
185,alto,na,"tall, high, top",o monte Evereste é a montanha mais alta do mundo,Mount Everest is the highest mountain in the world.,99
186,força,nf,"force, power, strength","no entanto, recusou a desarmar as forças militares da organização","Nevertheless, he refused to disarm the military forces of the organization.",100
187,acontecer,v,"to happen, occur",o que acha que vai acontecer?,What do you think will happen?,100
188,família,nf,family,a minha vida de família tem sido uma desgraça,My family life has been a disgrace.,100
189,tipo,nm,"type, like","desta forma, pode distinguir-se dois tipos de dislexia","In this way, you can distinguish between the two types of dyslexia.",99
190,presidente,nm,president,"a lei foi aprovada pelo senado, e o presi- dente teve que a aprovar também",The law was approved by the Senate and the President had to approve it as well.,99
191,mil,num,thousand,a mulher é mil vezes mais interessante do que o homem,A woman is a thousand times more interesting than a man,100
192,tratar,v,"to treat, deal with",ele foi recebido e tratado com respeito devido a ser pessoa de importância,He was received and treated with respect because he is an important person.,100
193,enquanto,av,while,são aves que se alimentam enquanto voam,They are birds that feed while they fly.,99
194,perder,v,to lose,temos de vencer porque não podemos perder,We must win because we cannot lose.,100
195,achar,v,"to find, think, suppose","meu capitão, não acharemos socorro","My captain, we will not find aid.",98
196,escrever,v,to write,o poeta começou a escrever ainda muito jovem,The poet began to write while still very young.,100
197,quatro,num,four,são quatro países-membros do Mercosul,There are four member countries of Mercosul.,100
198,usar,v,to use,"sem autorização, não se pode usar o nome alheio","Without authorization, you cannot use another person’s name.",100
199,único,aj,"only, unique",eles consideravam que o prazer constituía a única coisa absolutamente valiosa,They believed that pleasure constituted the only absolutely valuable thing.,99
200,nenhum,aj,"none, not a single one",ele trabalhou para oito presidentes e nenhum o demitiu,He worked for eight presidents and none of them fired him.,100
201,contar,v,"to tell, count",que tal se você nos contar a história toda desde o começo?,How about you tell us the whole story from the beginning?,100
202,real,na,"real, royal, Brazilian currency",voltar ao Brasil era-lhe um sonho que se tornou real em fevereiro,Returning to Brazil was a dream of his that became reality in February.,100
203,palavra,nf,word,essa palavra é muito forte,That word is very strong.,99
204,embora,cj,"although, even though","embora se encontrem divididos em vários estados, os curdos têm aspirações nacionalistas","Although they are divided into different states, Kurds have nationalist aspirations.",100
205,diferente,aj,different,"outros virão, talvez melhores, piores; mas diferentes","Others will come, maybe better, maybe worse, but definitely different.",100
206,possível,aj,possible,ele argumentava que o socialismo só seria possível se todas as nações o praticassem,He argued that socialism would only be possible if all nations practiced it.,100
207,importante,aj,important,a França desempenhou um papel muito importante contra a coligação austro-alemã,France played a very important role against the Austro-German alliance.,100
208,mostrar,v,to show,"quando chegámos àquele ponto na estrada, tivemos que parar para mostrar os nossos documentos",When we got to the checkpoint we had to stop to show our personal identification.,100
209,social,aj,social,refiro-me às diferenças sociais marcadas pelo fosso que separa ricos e pobres,I am referring to the social differences marked by the gap that separates the rich from the poor.,99
210,ali,av,there,sentava-se e ali ficava até a hora do almoço,He sat down and there he remained until lunchtime.,99
211,claro,aj,"clear, light",o novo líder deixou claro também que não pretende negociar mudanças,The new leader also made it clear that he doesn’t plan on negotiating any changes.,100
212,mão,nf,hand,João apertou a mão de Raul,João shook Raul’s hand.,99
213,logo,av,"soon, quickly, as soon as","se o senhor for paciente, logo compreenderá","Sir, if you’re patient, you will soon understand.",100
214,rio,nm,river,o rio Jordão é a fonte de abastecimento de água da Jordânia,The River Jordan is the source that provides Jordan’s water.,99
215,seguir,v,to follow,nós ficámos preocupadas quando vimos que o homem nos vinha a seguir,We got worried when we realized that the man was following us.,99
216,situação,nf,situation,"a situação continua tensa no local, com a guerrilha ainda em acção","The situation continues to be tense in the area, with the guerrillas still in action.",99
217,questão,nf,"question, issue, point",na mesa de negociações estavam questões complexas,There were complex questions on the negotiation table.,100
218,procurar,v,"to seek, look for",todas as editoras procuram a qualidade,All editors seek quality.,100
219,campo,nm,field,a seleção brasileira de futebol entrará em campo amanhã contra a Itália,The Brazilian national team will go on the field against Italy tomorrow.,100
220,através,av,"by way of, through",o sangue desoxigenado chega ao coração através das veias,Unoxygenated blood arrives at the heart by way of the veins.,99
221,brasileiro,na,Brazilian,o futebol brasileiro surpreendeu o mundo na Copa de 1970,Brazilian soccer surprised the world in the 1970 World Cup.,99
222,tentar,v,"to try, attempt","o motorista tentou puxar conversa, mas desistiu","The driver tried to start a conversation, but gave up.",100
223,serviço,nm,service,"hoje, 200 pessoas devem ir prestar serviços voluntários no zoológico","Today, 200 people are planned to give voluntary service at the zoo.",99
224,lei,nf,law,"no entanto, a polícia também é obrigada a obedecer a lei","However, the police are also required to obey the law.",100
225,criança,nf,child,"ainda criança, ele perdeu os pais e foi criado pelo padrinho","While yet a child, he lost his parents and was raised by his godfather.",100
226,próximo,aj,"next, close, near",Raquel prometera a Flora levá-la ao próximo festival de rock,Raquel had promised Flora that she would take her to the next rock concert.,100
227,nacional,aj,national,a banda tocava o hino nacional,The band played the national anthem.,99
228,trazer,v,to bring,o euro vai trazer a Portugal vantagens e desvantagens,The Euro will bring advantages and disadvantages to Portugal.,100
229,geral,aj,general,a Assembleia Geral do partido tem lugar durante o outono,The General Assembly of the party takes place in the fall.,100
230,frente,nf,front,"o homem ficou parado, na minha frente, sem saber o que dizer","The man remained still in front of me, not knowing what to say.",99
231,aparecer,v,to appear,os sintomas apareceram três dias após a infecção,The symptoms appeared three days after the infection.,100
232,manter,v,to maintain,os chefes de Estado e de Governo resolveram manter o <i>status quo</i>,The leaders at the state and federal levels decided to maintain the status quo.,99
233,colocar,v,"to place, put",a guerrilha colocou explosivos nas janelas,The guerilla placed explosives on the windows.,100
234,conta,nf,"account, bill",o grupo procurava abrir uma conta bancária para esconder seus fundos,The group sought to open a bank account to hide their funds.,100
235,pedir,v,"to ask for, request",mas ela por nada do mundo lhe pediria qualquer ajuda,But she wouldn’t ask for any help for anything in the world.,99
236,cinco,num,five,a mão dele tinha os cinco dedos,His hand had all five fingers.,100
237,escola,nf,school,Jonas frequentou a escola primária,Jonas attended elementary school.,100
238,verdade,nf,truth,eu queria saber se é verdade o que descobri!,I wanted to know if what I’d discovered is the truth!,100
239,corpo,nm,body,o dualismo postula a singularidade do espírito e do corpo,Dualism postulates the singularity of the spirit and the body.,99
240,morrer,v,to die,prefiro morrer lá a viver aqui,I would rather die here than to live there.,99
241,guerra,nf,war,a região foi palco de duras batalhas na I Guerra Mundial,The region was the stage for hard battles during World War I.,99
242,música,nf,music,a música instrumental é muitas vezes acompanhada pelo canto,Instrumental music is often accompanied by singing.,100
243,região,nf,region,em Portugal isso é muito frequente na região sul,"In Portugal, that happens a lot in the southern region.",99
244,baixo,aj/av,"low, short",é um número baixo em comparação com o detectado nos EUA,It is a low number compared to that recorded in the USA.,100
245,professor,nm,"teacher, professor","até contratamos um professor de português, e diariamente temos aulas de redacção",We even hired a Portuguese teacher and we have daily writing classes.,100
246,longo,aj,long,ele não suportaria uma longa solidão,He wouldn’t stand a long period of isolation.,99
247,acção,nf,action,cada anticorpo tem uma acção específica,Every antibody has a specific action.,99
248,entender,v,to understand,não terá sensibilidade para entender o que estamos falando,He won’t have the sensitivity to understand what we are talking about.,100
249,movimento,nm,movement,a fricção causada por este movimento tectónico ocasiona sismos periodicamente,The friction caused by this tectonic movement periodically triggers earthquakes.,99
250,branco,aj,white,a luz branca pode ser decomposta nas suas cores componentes,White light can be separated into its component colors.,99
251,processo,nm,process,o processo de desmantelamento da central nuclear pode levar 40 anos,The process of dismantling a nuclear plant can take 40 years.,98
252,ganhar,v,"to win, earn, gain",os campeões ganhavam prémios,The champions won awards.,100
253,arte,nf,art,O desenvolvimento da arte gótica acompanhou a construção das grandes catedrais,The development of Gothic art took place as large cathedrals were being built.,100
254,papel,nm,"paper, role",este texto vai ser escrito em 15 meias folhas de papel,This copy will be written on 15 half sheets of paper.,100
255,sim,av,yes,descansou o suficiente? – Acho que sim,"Did you get enough rest? – Yes, I think so.",98
256,esperar,v,"to wait, hope, expect",elas esperaram durante uma hora,They waited for an hour.,99
257,fundo,nm,"bottom, rear, fund","agradeço-te, do fundo do coração",I thank you from the bottom of my heart.,99
258,senhor,nm,"lord, sir, mister",eles foram senhores feudais que governaram um quarto do Japão,They were feudal lords that ruled a quarter of Japan.,97
