Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
168,rien,"adv, nm, pro",nothing,"moi, je n’en sais rien",I don’t know anything about it,69
169,cours,"nfpl, nm(pl)",course,ils organisaient des petits cours et des séminaires,they organized short courses and seminars,82
170,affaire,nf,"business, matter",occupe-toi de tes affaires,mind your own business,80
171,nom,nm,name,quel est son nom?,what is his name?,85
172,famille,nf,family,il provient sûrement d’une excellente famille,he surely comes from an excellent family,87
173,effet,nm,effect,"il s’agit, en effet, d’une question cruciale","it is, indeed, a crucial question",83
174,arriver,v,"to arrive, happen",cela ne m’était pas arrivé depuis,that hasn’t happened to me since,79
175,possible,adj(f),possible,nous avons donc deux scénarios possibles,so we have two possible scenarios,86
176,car,"conj, nm",because; bus,"c’est dommage, car tu vas perdre un gros client","it’s too bad, because you’re going to lose a major customer",81
177,servir,v,to serve,il m’a servi une coupe de champagne,he served me a glass of champagne,89
178,mois,nm(pl),month,il a écrit ce livre en deux mois,he wrote this book in two months,82
179,jamais,adv,never,je jure de ne plus jamais te contacter,I swear I will never contact you again,73
180,sembler,v,to seem,le processus semble irréversible,the process seems irreversible,83
181,tant,adv,"so much, so many",mais vous avez tant à enseigner,but you have so much to teach,84
182,vers,"nm(pl), prep",toward; verse,un tram se dirige vers toi. monte dedans,a tram is approaching you. get on it,77
183,besoin,nm,need,nous avons vraiment besoin d’aide,we really need some help,82
184,revenir,v,to come back,je sais qu’elle ne reviendra jamais,I know she will never return,85
185,dès,prep,"from, as soon",on me fera signe dès que vous descendrez,they’ll wave to me as soon as you get down there,89
186,moyen,"adj, nm","means, way; medium",il songeait aux moyens de profiter de sa victoire,he was dreaming of a way to profit from his victory,81
187,groupe,nm,group,on va commencer avec le premier groupe,we’ll start with the first group,76
188,problème,nm,problem,nous avons osé soulever le problème,we dared raise the problem,76
189,rapport,nm,"relationship, report",je propose que le rapport du comité soit adopté,I move that the committee’s report be adopted,75
190,peut-être,adv,"perhaps, maybe",j’ai peut-être une idée,I might have an idea,79
191,vue,nf,view,"la vue est belle, de cette fenêtre",the view from this window is pretty,87
192,maintenant,adv,now,je ne peux pas partir maintenant,I can’t leave now,78
193,pourquoi,"adv, conj, nmi",why,pourquoi tu ne m’invites pas?,why don’t you invite me?,74
194,meilleur,nadj,"better, best",j’apprends à être un meilleur mari,I’m learning to be a better husband,87
195,trop,adv,"too much, too many",la vie est trop courte. essayez d’être heureuse,life is too short. try to be happy,78
196,laisser,v,to leave,il va nous laisser tranquilles,he’ll leave us alone,77
197,ordre,nm,order,ce sont des scientifiques de premier ordre,they are first-rate scientists,86
198,devant,"adv, nm, prep","in front, ahead",une fumée montait devant nous sur l’horizon,smoke billowed ahead of us on the horizon,81
199,recevoir,v,to receive,il n’a plus reçu de lettres de moi,he didn’t receive any more letters from me,82
200,répondre,v,to answer,j’aimerais y répondre par une autre question,I would like to respond to it with another question,83
201,vivre,"nm, v",to live,aucune Marocaine ne vit seule dans le quartier,no Moroccan woman lives alone in the neighborhood,80
202,long,"adv, nadj","long, lengthy","l’éducation sur le long terme paiera, j’en suis convaincu","long-term education pays off, I’m convinced of that",82
203,service,nm,service,je faisais mon service militaire,I was doing my military service,75
204,ministre,"nm, nf",minister,les ministres se sont réunis dans la nuit,the ministers met during the night,57
205,face,nf,"front, side, face",on s’est trouvés face à face,we found ourselves face to face,85
206,chez,prep,"at, with",elle ira peut être vivre définitivement chez lui,she might go live with him permanently,78
207,te,pro,"you, to you, from you",je vais t’emmener chez un médecin,I’m going to take you to a doctor,51
208,rappeler,v,"to recall, call back",je ne me rappelle pas avoir été aussi heureux,I don’t remember having been that happy,86
209,présenter,v,to present,papa je te présente Claire,"daddy, this is Claire",79
210,accepter,v,to accept,j’accepte avec plaisir votre aimable invitation,I accept with pleasure your kind invitation,87
211,agir,v,to act,c’est le moment d’agir,now is the time to act,78
212,simple,nadj(f),simple,on préférerait une réponse simple,we would prefer a simple answer,90
213,plusieurs,"det, adj, pro",several,il y a plusieurs formes d’humour,there are several types of humor,80
214,votre,det,your,permettez-moi de vous parler dans votre langue,allow me to speak to you in your language,64
215,important,nadj,important,c’est une question extrêmement importante,it’s an extremely important question,75
216,présent,nadj,present,il est trop tard pour dîner à présent,it’s too late to have supper now,86
217,mieux,"adji(pl), adv, nm",better,je ne vous ai jamais mieux aimée,I have never loved you more,82
218,poser,v,"to put, pose, ask",je ne me posais plus de questions,I didn’t ask myself any more questions,84
219,jouer,v,to play,les enfants jouent dehors,the children are playing outside,83
220,mot,nm,word,je ne crois pas un mot sorti de ta petite bouche,I don’t believe a single word from your little mouth,81
221,reconnaître,v,to recognize,Joseph reconnut le chant de la grive,Joseph recognized the thrush’s song,85
222,force,nf,force,parle-moi de ces forces surnaturelles,talk to me of these supernatural forces,80
223,situation,nf,situation,"dans des situations aussi difficiles, il faut trancher","in such difficult situations, drastic measures must be taken",79
224,offrir,v,to offer,"alors, je vous offre la vie éternelle",so I offer you eternal life,87
225,près,"adv, prep","near, nearby, close by",il y a un siège vide près de vous,there’s an empty seat near you,81
226,choisir,v,to choose,c’est maintenant le moment de choisir,now is the moment to choose,89
227,national,nadj,national,il y avait l’intérêt national français,the national interests of the French were involved,74
228,projet,nm,project,le gouvernement ne financerait aucun projet touchant cette pratique,the government would not fund any project involving this practice,60
229,ni,conj,nor,"je ne mange pas de viandes, ni de produits laitiers",I don’t eat meat or dairy products,77
230,puis,adv,"then, so","elle a tenté de me tuer, puis elle m’a chassée","she tried to kill me, then she chased me",72
231,toucher,"nm, v",to touch,il lui touche l’épaule,he touches her shoulder,88
232,train,nm,train,je pris le train pour un aller-retour vers la mer,I took the train on a round-trip outing to the sea,90
233,aujourd’hui,adv,today,"je peux, aujourd’hui encore, en réciter",even today I can still recite some of them,73
234,comment,"adv, conj, intj, nmi",how,voyons un peu comment les choses se sont passées,let’s take a look at how things unfolded,72
235,surtout,"adv, nm","especially, above all",j’ai surtout besoin d’argent,what I need above all is money,83
236,gens,nmpl,people,des gens sont venus me voir,people came to see me,70
237,propre,nadj(f),"clean, proper","la pétasse était propre, mec","the woman was clean, man",85
238,grâce,nf,"thanks, grace, favour",je ne vous demande aucune grâce,I’m not asking you for any favors,90
239,idée,nf,idea,que pensez-vous de cette idée?,what do you think of this idea?,81
240,selon,prep,according to,tout est prêt selon vos désirs,everything’s ready according to your wishes,68
241,région,nf,region,la région a connu une cinquantaine de massacres,the region has experienced some fifty massacres,78
242,aimer,v,"to like, love",tu sais que je t’aime,you know I love you,71
243,sens,nm(pl),"sense, meaning",il manquait un sens à donner à ma vie,there was a lack of meaning in my life,82
244,retrouver,v,"to find, recall",je te retrouve dehors,I’ll find you outside,84
245,semaine,nf,week,ma pièce se jouait cette semaine,my play was showing that week,79
246,également,adv,"also, too, as well, equally",reculer est également hors de question,backing down is also not an option,74
247,ci,"adv, pro","this one, here","et celui-ci? oui, il est vraiment super","and this one here? yes, he’s really great",83
248,façon,nf,"way, manner","c’est une façon de voir, je suppose","it’s a way of looking at it, I guess",75
249,nombre,nm,number,il existe un nombre infini de réponses possibles,there are an infinite number of possible answers,78
250,perdre,v,to lose,"vous avez perdu votre mère, mademoiselle?","did you lose your mother, miss?",82
251,français,nadj(pl),French,il faut leur parler en français,you need to speak to them in French,71
252,expliquer,v,to explain,"je vous en prie, expliquez-moi tout","I beg you, explain everything to me",82
253,quatre,"det, nmi",four,nous sommes quatre étudiants dans la maison,we’re four students sharing a house,80
254,compte,nm,"account, count",cette ville a eu son compte de désastres,this city has had its fair share of disasters,81
255,considérer,v,to consider,la présidence considère cela comme une priorité majeure,the presidency considers that a major priority,85
256,lorsque,conj,when,que se passe-t-il lorsque nous manquons de sucre?,what happens when we lack sugar?,74
257,ouvrir,v,to open,"s’il vous plaît, ouvrez les yeux",please open your eyes,83
258,gagner,v,"to win, earn",que le meilleur gagne,may the best man win,88
259,exemple,nm,example,ces exemples sont encore bien pauvres,these examples are still very weak,73
260,ville,nf,city,nous étions de la même ville,we were from the same city,81
261,économique,nadj(f),"economic, economical",le rétablissement économique de l’Asie est plus rapide que prévu,Asian economic recovery is faster than projected,77
262,mesure,nf,measure,écrire me libère dans une certaine mesure,writing liberates me to a certain extent,70
263,histoire,nf,"history, story",on a raconté d’amusantes histoires,we told funny stories,80
264,haut,"adv, nadj","top, high",voilà qui vous lancera dans la haute société,that’s who will launch you into high society,84
265,ensuite,adv,next,ensuite il va au restaurant,then he’s going to the restaurant,88
266,guerre,nf,war,"c’est nul, la guerre!",war is nothing!,77
267,loi,nf,law,je vais voter contre le projet de loi,I’m going to vote against the bill,53
268,président,nm,president,j’ai rencontré le président des Etats-Unis,I met the president of the U.S.,63
269,exister,v,to exist,le risque n’existe plus,there is no more risk,83
270,sûr,adj,sure,"tu m’attends? bien sûr, poupée","will you wait for me? of course, doll",78
271,refuser,v,to refuse,attendez…vous refusez d’obéir?,wait… you refuse to obey?,87
272,plutôt,adv,rather,ce jet vole plutôt bas,this jet is flying rather low,83
273,bureau,nm,"office, desk",il veut vous voir dans son bureau immédiatement,he wants to see you in his office immediately,91
274,mauvais,"adv, nadj(pl)","bad, wrong",il constitue un pas dans la mauvaise direction,it constitutes a step in the wrong direction,88
275,quant,adv,as for,les vents tempêtueux ont modifié la situation quant aux avalanches,the stormy winds changed the avalanche situation,89
276,mort,"adj, nf",dead; death,la mort ne m’effraye pas,death doesn’t frighten me,71
277,mal,"adji, adv, nm",bad,"autrement dit, la journée a plutôt mal commencé","in other words, the day started out rather badly",77
278,lire,"nf, v",to read; lira,je ne voulais pas lire mes poèmes,I didn’t want to read my poems,80
279,réussir,v,to succeed,il ne réussit pas à vendre un seul dessin,he can’t manage to sell even one drawing,89
280,marché,nm,market,le marché des maisons est resté stable,the housing market has remained stable,74
281,condition,nf,condition,l’unité de la condition humaine,the unity of the human condition,80
282,international,nadj,international,elle jouit également d’une excellente réputation internationale,she also has an excellent international reputation,70
283,changer,v,to change,"ensemble, ils ont changé beaucoup de choses","together, they changed many things",82
284,oui,"adv, nmi",yes,"oui, oui, je sais!","yes, yes, I know",62
285,public,nadj,"public, audience",je dois beaucoup au public,I owe a lot to the public,78
286,humain,nadj,human,"vous savez, on est humains, nous aussi","you know, we are also human",81
287,souvent,adv,often,mais alors souvent en fin de soirée c’est la fête,"well, often the night ends with a party",79
288,cinq,"det, nm(pl)",five,"j’ai cinq minutes, je dois rencontrer quelqu’un à midi",I have five minutes—I have to meet someone at noon,77
289,système,nm,system,j’ai décrit le système idéal,I described the ideal system,65
290,travailler,v,to work,nous devons travailler ensemble,we have to work together,76
291,jeu,nm,game,nous n’entrons pas dans le jeu de la politique,we don’t enter into the political fray,85
292,vrai,"adv, nadj",true,"ah, oui, c’est vrai","oh, yes, that’s right",73
293,représenter,v,to represent,il représente bien le sport français,he represents French sports very well,80
294,madame,nf,"madam, lady",et je suis au service de madame,"I’m at your service, ma’am",71
295,société,nf,society,on vit dans une société où tout s’accélère,we live in a society where everything is accelerating,73
296,difficile,nadj(f),difficult,"c’est difficile, monsieur, très difficile d’être un homme","sir, it’s difficult—very difficult—to be a man",84
297,quoi,pro,what,je ne sais pas de quoi vous parlez,I don’t know what you’re talking about,63
298,entreprise,nf,"enterprise, business",j’ai moi-même l’esprit d’entreprise,I myself have an entrepreneurial spirit,72
299,coup,nm,"coup, blow, knock, stroke",je lui donne juste un coup de main. je le lui dois,I’m just giving him a helping hand. I owe it to him,77
300,or,"conj, nm","gold; hence, thus",je ne suis pas chercheuse d’or,I’m not a gold-digger,87
301,social,nadj,social,elle a une dimension sociale autant que biologique,it has a social dimension as much as a biological one,71
302,assurer,v,"to assure, insure",le contrat assure une pension à l’époux survivant,the contract guarantees a pension to the surviving spouse,77
303,essayer,v,to try,je vais essayer de vous convaincre,I’ll try to convince you,79
304,juste,"adv, nadj(f)","just, only; fair","vous êtes juste et impartial, comme toujours","you’re fair and impartial, as always",79
305,étranger,nadj,foreigner; foreign,la situation est bien différente à l’étranger,the situation is very different abroad,76
306,empêcher,v,to prevent,cela n’aurait évidemment rien empêché,apparently that wouldn’t have prevented anything,89
307,million,nm,million,un quart de million d’articles ont été distribués,a quarter million articles were distributed,69
308,manière,nf,"manner, way","de cette manière, nous serons ensemble","this way, we will be together",80
309,sortir,v,"to go out, leave",sortez ou j’appelle la police,get out of here or I’ll call the police,73
310,prix,nm(pl),price; prize,il y a un prix pour les gagnants,there is a prize for the winners,78
311,terme,nm,"term, deadline",l’éducation sur le long terme paiera,education will pay off in the long term,77
312,longtemps,adv,"a long time, a long while",pendant longtemps il ne bougea pas de son lit,for a long while he didn’t move from his bed,84
313,reprendre,v,"to resume, recover, start again, take back","on peut les arrêter, leur reprendre cette ville","we can arrest them, take back this city from them",84
314,courant,"adj, nm",current,"je suis au courant, il a téléphoné","I’m aware of it, he telephoned",89
315,intérêt,nm,interest,l’avenir ne présente guère d’intérêt,the future is hardly interesting,77
316,mener,v,to lead,la police mène une enquête pour arrêter les assaillants,the police are leading an investigation to arrest the attackers,85
317,information,nf,information,ces dirigeants ont décidé de taire ces informations,these leaders decided to suppress this information,73
318,détail,nm,detail,vous devriez tout me raconter en détails,you should tell me everything in minute detail,92
319,appartenir,v,to belong,cet argent n’appartient pas au gouvernement,this money does not belong to the government,91
320,liberté,nf,"liberty, freedom",on se bat pour la liberté d’expression,we’re fighting for freedom of expression,86
